Farm_ID,Farming_Practice,Emissions_Type,Emissions_Amount,Energy_Source,Farming_Type,Crop,Date
FARM-0079,Soil Management,N2O,8.58,Hydro,Sustainable,Corn,2023-01-18
FARM-0080,Deforestation,CO2,71.89,Oil,Traditional,,2021-08-08
FARM-0081,Deforestation,CO2,74.02,Natural Gas,Traditional,,2022-01-18
FARM-0082,Livestock,Methane,17.83,Oil,Traditional,,2019-11-05
FARM-0083,Soil Management,N2O,5.73,Solar,Sustainable,Barley,2020-12-06
FARM-0084,Soil Management,N2O,10.36,Geothermal,Sustainable,Corn,2021-03-18
FARM-0085,Soil Management,N2O,4.73,Solar,Sustainable,Rice,2021-08-18
FARM-0086,Soil Management,N2O,14.87,Geothermal,Sustainable,Soybean,2022-09-30
FARM-0087,Fertilizer Application,CO2,23.79,Natural Gas,Traditional,Corn,2020-05-18
FARM-0088,Deforestation,CO2,63.03,Oil,Traditional,,2021-02-08
FARM-0089,Soil Management,N2O,4.94,Geothermal,Sustainable,Corn,2024-04-08
FARM-0090,Deforestation,CO2,80.69,Coal,Traditional,,2022-12-05
FARM-0091,Soil Management,N2O,3.71,Hydro,Sustainable,Soybean,2023-05-26
FARM-0092,Deforestation,CO2,98.14,Natural Gas,Traditional,,2023-08-24
FARM-0093,Livestock,Methane,23.08,Oil,Traditional,,2021-09-27
FARM-0094,Deforestation,CO2,37.55,Coal,Traditional,,2024-06-29
FARM-0095,Livestock,Methane,26.01,Coal,Traditional,,2021-10-31
FARM-0096,Fertilizer Application,CO2,22.37,Natural Gas,Traditional,Soybean,2024-01-16
FARM-0097,Deforestation,CO2,72.78,Peat,Traditional,,2021-08-03
FARM-0098,Soil Management,N2O,6.08,Solar,Sustainable,Soybean,2022-11-09
FARM-0099,Fertilizer Application,CO2,25.62,Oil,Traditional,Corn,2024-07-21
FARM-0100,Livestock,Methane,47.05,Natural Gas,Traditional,,2022-09-03
